id,title,company,career_type,job_group,status,deadline,url
1001047,[한국영업본부] D2C플랫폼 데이터 분석,LG전자,경력,영업/마케팅,게시중,2025.11.10 23:00,https://careers.lg.com/apply/detail?id=1001047
1001046,[한국영업본부] D2C플랫폼 PMO,LG전자,경력,경영지원,게시중,2025.11.10 23:00,https://careers.lg.com/apply/detail?id=1001046
1001045,[한국영업본부] D2C플랫폼 IT전략,LG전자,경력,경영지원,게시중,2025.11.10 23:00,https://careers.lg.com/apply/detail?id=1001045
1001044,[한국영업본부] D2C플랫폼 SW 품질 관리,LG전자,경력,생산/품질,게시중,2025.11.10 23:00,https://careers.lg.com/apply/detail?id=1001044
1001043,[한국영업본부] D2C플랫폼 UX전략 스페셜리스트 ,LG전자,경력,디자인,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001043
1001042,[한국영업본부] D2C플랫폼 PO,LG전자,경력,상품/서비스기획,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001042
1001041,[한국영업본부] D2C플랫폼 서비스기획자 ,LG전자,경력,경영지원,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001041
1001038,[기업부문] IDC 전기 엔지니어(파주&평촌) 경력채용,LG유플러스,경력,네트워크/방송,게시중,2025.11.04 23:00,https://careers.lg.com/apply/detail?id=1001038
1001037,[하이텔레서비스] LG전자 고객센터 상담 직무  채용(상시),하이텔레서비스,신입,고객서비스,게시중,2025.12.05 23:00,https://careers.lg.com/apply/detail?id=1001037
1001036,[기업부문] IDC 기계 엔지니어(파주) 경력채용,LG유플러스,경력,네트워크/방송,게시중,2025.11.04 23:00,https://careers.lg.com/apply/detail?id=1001036
1001030,[한국영업본부] 온라인그룹 신사업 콘텐츠 전문가,LG전자,경력,영업/마케팅,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001030
1001028,[한국영업본부] 온라인그룹 신사업 서비스 운영,LG전자,경력,영업/마케팅,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001028
1001027,[Consumer부문] 강동소매영업팀 회계/정산지원 계약직 채용,LG유플러스,신입/경력,경영지원,게시중,2025.11.03 23:00,https://careers.lg.com/apply/detail?id=1001027
1001025,[Consumer부문] 북부소매영업팀 회계/정산지원 계약직 채용,LG유플러스,신입/경력,경영지원,게시중,2025.11.03 23:00,https://careers.lg.com/apply/detail?id=1001025
1001019,[정규직] 해외법인 결산 담당자 모집(신입/경력),하이엠솔루텍,신입/경력,경영지원,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001019
1001018,[정규직] CS강사 모집(경력),하이엠솔루텍,경력,경영지원,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001018
1001013,[한국영업본부] 아웃소싱 제품/포장 디자인 전문가,LG전자,경력,디자인,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001013
1001007,[레저] 레저)HR팀 인사운영(계약직) 채용,D&O,신입/경력,경영지원,게시중,2025.11.10 23:00,https://careers.lg.com/apply/detail?id=1001007
1000998,[정규직] 시스템에어컨 제품 기술상담사 모집,하이엠솔루텍,신입/경력,고객서비스,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1000998
1000997,[정규직] 칠러 서비스엔지니어 채용,하이엠솔루텍,신입/경력,고객서비스,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1000997
1000972,[정규직] 시스템에어컨 서비스엔지니어 상시 채용,하이엠솔루텍,신입/경력,고객서비스,게시중,2025.12.21 23:00,https://careers.lg.com/apply/detail?id=1000972
1000943,[Consumer부문] 전북소매영업팀 회계/정산 계약직  채용,LG유플러스,신입/경력,경영지원,게시중,2025.11.05 23:00,https://careers.lg.com/apply/detail?id=1000943
1000844,[CTO] MS Solution Expert 계약직 채용,LG유플러스,경력,연구/개발,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1000844
1000739,[기업부문] 안전관리자 (평촌 IDC센터) 계약직 채용,LG유플러스,경력,생산/품질,게시중,2025.11.05 23:00,https://careers.lg.com/apply/detail?id=1000739
1000553,[하이엠솔루텍] 장애인 특별 채용_시스템에어컨 서비스엔지니어 모집(2025년 상시),하이엠솔루텍,신입/경력,고객서비스,게시중,2025.12.31 23:00,https://careers.lg.com/apply/detail?id=1000553
1000552,[하이엠솔루텍] 장애인 특별 채용_사무직 모집(2025년 상시),하이엠솔루텍,신입/경력,경영지원,게시중,2025.12.31 23:00,https://careers.lg.com/apply/detail?id=1000552
1000465,[정보보안센터] 정보보안시스템 운영 계약직 채용,LG유플러스,경력,경영지원,게시중,2025.11.03 23:00,https://careers.lg.com/apply/detail?id=1000465
1001049,법무 Group_해외변호사 모집,LG디스플레이,신입/경력,경영지원,게시중,2025.11.09 23:00,https://careers.lg.com/apply/detail?id=1001049
1001032,[HS사업본부] 산업/상업/휴머노이드용 액추에이터 개발자 채용	,LG전자,경력,연구/개발,게시중,2025.11.16 23:00,https://careers.lg.com/apply/detail?id=1001032
1001031,[HS사업본부] 산업/상업/휴머노이드용 감속기 개발자 채용,LG전자,경력,연구/개발,게시중,2025.11.16 23:00,https://careers.lg.com/apply/detail?id=1001031
1001029,[LG생활건강] 국내변호사,LG생활건강,경력,경영지원,게시중,2025.11.11 23:00,https://careers.lg.com/apply/detail?id=1001029
1001009,[자동차전지] 시스템검증 시험원 계약직 모집,LG에너지솔루션,신입,연구/개발,게시중,2025.11.06 23:00,https://careers.lg.com/apply/detail?id=1001009
1001001,[레저] '25년 곤지암리조트/GC 하반기 식음서비스 직무 채용연계형 인턴 수시채용,D&O,인턴,부동산/레저,게시중,2025.11.11 11:00,https://careers.lg.com/apply/detail?id=1001001
1000992,"[D&O CM] 미국 현지 채용 - 총무 신입사원 (이메일 접수, ~11/10까지) ",D&O,신입,경영지원,게시중,2025.10.21 09:00,https://careers.lg.com/apply/detail?id=1000992
1000981,[CTO] BMS SW 개발 경력 모집,LG에너지솔루션,경력,연구/개발,게시중,2025.11.05 23:00,https://careers.lg.com/apply/detail?id=1000981
1000973, [기업부문] 프로젝트 이행 PM 상시 인재 Pool,LG유플러스,경력,경영지원,게시중,2026.03.31 23:00,https://careers.lg.com/apply/detail?id=1000973
1000948,[비즈테크아이] 상시 인재 채용 (인재 Pool),비즈테크아이,신입/경력,연구/개발,게시중,2025.12.31 18:00,https://careers.lg.com/apply/detail?id=1000948
1000935,[CQO] 품질시험원 계약직 모집,LG에너지솔루션,신입,생산/품질,게시중,2025.11.11 23:00,https://careers.lg.com/apply/detail?id=1000935
1000932,[LG CNS] UX/UI 디자인 분야 모집(경력),LG CNS,경력,IT서비스,게시중,2025.11.30 23:00,https://careers.lg.com/apply/detail?id=1000932
1000834,[인턴] LG CNS Global Internship(외국인) 상시 인재 등록 공고,LG CNS,인턴,IT서비스,게시중,2026.01.02 18:00,https://careers.lg.com/apply/detail?id=1000834
1000777,[LG CNS] 클라우드 인프라 사업 개발 분야 모집(경력),LG CNS,경력,IT서비스,게시중,2025.11.30 23:00,https://careers.lg.com/apply/detail?id=1000777
